YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2015,Anthony Brown,Los Angeles Lakers,700000.0,23,29,4,25,20.6,4.0,1.3,4.3,31.0,0.7,2.4,28.6,0.6,0.7,85.0,0.3,2.1,2.4,0.7,0.5,0.5,0.2,1.2,9.3,0,0,-1.2,454.0
2015,Brandon Bass,Los Angeles Lakers,3000000.0,31,66,16,50,20.3,7.2,2.6,4.8,54.9,0.0,0.0,0.0,1.9,2.2,84.5,1.6,2.7,4.3,1.1,0.6,0.5,0.8,1.9,17.4,0,0,-0.3,216.0
2015,D'Angelo Russell,Los Angeles Lakers,5103120.0,20,80,17,63,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8,145.0
2015,Jordan Clarkson,Los Angeles Lakers,845059.0,24,79,17,62,32.3,15.5,6.0,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4.0,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9,424.0
2015,Julius Randle,Los Angeles Lakers,3132240.0,21,81,17,64,28.2,11.3,4.4,10.3,42.9,0.1,0.4,27.8,2.4,3.3,71.5,2.1,8.1,10.2,1.8,1.8,0.7,0.4,3.0,27.5,34,1,-8.4,207.0
2015,Kobe Bryant,Los Angeles Lakers,25000000.0,37,66,13,53,28.2,17.6,6.0,16.9,35.8,2.0,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2.0,0.9,0.2,1.7,27.7,2,0,-8.6,1.0
2015,Larry Nance Jr.,Los Angeles Lakers,1155600.0,23,63,14,49,20.1,5.5,2.5,4.8,52.7,0.0,0.2,10.0,0.5,0.7,68.1,1.6,3.3,5.0,0.7,0.7,0.9,0.4,2.0,15.5,3,0,-1.5,337.0
2015,Lou Williams,Los Angeles Lakers,7000000.0,29,67,14,53,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83.0,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,24.1,0,0,-6.0,108.0
2015,Metta World Peace,Los Angeles Lakers,947276.0,36,35,6,29,16.9,5.0,1.6,5.1,31.1,0.7,2.4,31.0,1.1,1.6,70.2,0.5,2.0,2.5,0.8,0.4,0.6,0.3,1.9,11.6,0,0,-1.9,393.0
2015,Nick Young,Los Angeles Lakers,5219169.0,31,54,13,41,19.1,7.3,2.3,6.9,33.9,1.4,4.4,32.5,1.2,1.4,82.9,0.3,1.5,1.8,0.6,0.6,0.4,0.1,0.9,11.5,0,0,-3.7,139.0
