,,0
FTA,SALARY,0.688537384
FTM,REB,0.692333008
REB,FTM,0.692333008
TOV,SALARY,0.69271393
SALARY,TOV,0.69271393
DREB,FTM,0.701789009
FTM,DREB,0.701789009
TOV,FTM,0.709427265
FTM,TOV,0.709427265
FP,STL,0.709575681
STL,FP,0.709575681
OREB,REB,0.715868779
REB,OREB,0.715868779
FTA,DREB,0.718030726
DREB,FTA,0.718030726
FP,PF,0.71940981
PF,FP,0.71940981
MIN,AST,0.720152447
AST,MIN,0.720152447
REB,FTA,0.723491555
FTA,REB,0.723491555
AST,SALARY,0.73175199
SALARY,AST,0.73175199
SALARY,FTM,0.732987022
FTM,SALARY,0.732987022
PF,MIN,0.733219664
MIN,PF,0.733219664
FP,DD2,0.741096912
DD2,FP,0.741096912
FTA,TOV,0.744261611
TOV,FTA,0.744261611
GP,L,0.74648238
L,GP,0.74648238
MIN,FTM,0.748615335
FTM,MIN,0.748615335
FP,SALARY,0.748791496
SALARY,FP,0.748791496
FGA,TOV,0.749417828
TOV,FGA,0.749417828
AST,STL,0.750613375
STL,AST,0.750613375
FGM,TOV,0.752193686
TOV,FGM,0.752193686
FTA,MIN,0.755373465
MIN,FTA,0.755373465
PTS,TOV,0.756982508
TOV,PTS,0.756982508
DD2,TOV,0.761579183
TOV,DD2,0.761579183
AST,DREB,0.76373871
DREB,AST,0.76373871
FGM,DREB,0.765171405
DREB,FGM,0.765171405
FP,AST,0.766422394
AST,FP,0.766422394
REB,FGA,0.770891934
FGA,REB,0.770891934
DREB,PTS,0.771631839
PTS,DREB,0.771631839
FGA,DREB,0.773829486
DREB,FGA,0.773829486
PTS,REB,0.776425049
REB,PTS,0.776425049
PF,DREB,0.784595424
DREB,PF,0.784595424
REB,FGM,0.790236041
FGM,REB,0.790236041
GP,W,0.811951752
W,GP,0.811951752
DD2,REB,0.81698959
REB,DD2,0.81698959
DD2,DREB,0.819594842
DREB,DD2,0.819594842
TOV,REB,0.823945219
REB,TOV,0.823945219
MIN,TOV,0.825352697
TOV,MIN,0.825352697
REB,PF,0.839396872
PF,REB,0.839396872
FP,FTM,0.84609943
FTM,FP,0.84609943
FGM,MIN,0.847707274
MIN,FGM,0.847707274
AST,TOV,0.860567089
TOV,AST,0.860567089
MIN,PTS,0.861439902
PTS,MIN,0.861439902
FTA,FP,0.862579505
FP,FTA,0.862579505
FGA,FTM,0.870171643
FTM,FGA,0.870171643
FTA,FGA,0.874911631
FGA,FTA,0.874911631
TOV,DREB,0.880323251
DREB,TOV,0.880323251
FGA,MIN,0.881683932
MIN,FGA,0.881683932
FGA,FP,0.886075367
FP,FGA,0.886075367
TOV,FP,0.888275156
FP,TOV,0.888275156
MIN,REB,0.889422929
REB,MIN,0.889422929
FTM,FGM,0.895882829
FGM,FTM,0.895882829
FP,FGM,0.898614208
FGM,FP,0.898614208
DREB,MIN,0.899884847
MIN,DREB,0.899884847
PTS,FP,0.906502825
FP,PTS,0.906502825
REB,FP,0.915144068
FP,REB,0.915144068
FGM,FTA,0.918718936
FTA,FGM,0.918718936
DREB,FP,0.92073601
FP,DREB,0.92073601
PTS,FTM,0.933941759
FTM,PTS,0.933941759
FP,MIN,0.937939759
MIN,FP,0.937939759
FTA,PTS,0.939964754
PTS,FTA,0.939964754
FGA,FGM,0.960701281
FGM,FGA,0.960701281
DREB,REB,0.967052678
REB,DREB,0.967052678
PTS,FGA,0.97192111
FGA,PTS,0.97192111
3PM,3PA,0.979067411
3PA,3PM,0.979067411
FTM,FTA,0.985704722
FTA,FTM,0.985704722
FGM,PTS,0.988421628
PTS,FGM,0.988421628
YEAR,YEAR,1
TD3,TD3,1
SALARY,SALARY,1
AGE,AGE,1
GP,GP,1
W,W,1
L,L,1
MIN,MIN,1
PTS,PTS,1
FGM,FGM,1
